Designator,Mid X,Mid Y,Layer,Rotation
5.1K1,297.250000mm,-37.000000mm,Top,180
5.1K2,297.250000mm,-38.000000mm,Top,0
USB1,302.995001mm,-32.955001mm,Top,180
